,Unnamed: 0,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,month,Year,month_no,total
0,263,489464,21733,85123a mixed,-96,2009-12-01 10:52:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
1,283,489463,71477,short,-240,2009-12-01 10:52:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
2,284,489467,85123A,21733 mixed,-192,2009-12-01 10:53:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
3,470,489521,21646,,-50,2009-12-01 11:44:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
4,3114,489655,20683,,-44,2009-12-01 17:26:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
5,3161,489659,21350,,230,2009-12-01 17:39:00,0.0,1.0,United Kingdom,December,2009,12,0.0
6,3162,489660,35956,lost,-1043,2009-12-01 17:43:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
7,3168,489663,35605A,damages,-117,2009-12-01 18:02:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
8,3731,489781,84292,,17,2009-12-02 11:45:00,0.0,1.0,United Kingdom,December,2009,12,0.0
9,4296,489806,18010,,-770,2009-12-02 12:42:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
10,4538,489820,21133,invcd as 84879?,-720,2009-12-02 13:23:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
11,4566,489821,85049G,,-240,2009-12-02 13:25:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
12,4674,489825,22076,6 RIBBONS EMPIRE  ,12,2009-12-02 13:34:00,0.0,16126.0,United Kingdom,December,2009,12,0.0
13,5904,489861,DOT,DOTCOM POSTAGE,1,2009-12-02 14:50:00,0.0,1.0,United Kingdom,December,2009,12,0.0
14,6378,489882,35751C,,12,2009-12-02 16:22:00,0.0,1.0,United Kingdom,December,2009,12,0.0
15,6555,489898,79323G,,954,2009-12-03 09:40:00,0.0,1.0,United Kingdom,December,2009,12,0.0
16,6556,489899,79323GR,sold as gold,-954,2009-12-03 09:41:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
17,6576,489901,21098,,-200,2009-12-03 09:47:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
18,6581,489903,21166,,48,2009-12-03 09:57:00,0.0,1.0,United Kingdom,December,2009,12,0.0
19,6781,489998,48185,DOOR MAT FAIRY CAKE,2,2009-12-03 11:19:00,0.0,15658.0,United Kingdom,December,2009,12,0.0
20,6911,490007,84347,21494,-720,2009-12-03 12:09:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
21,7204,490015,21982,,467,2009-12-03 12:29:00,0.0,1.0,United Kingdom,December,2009,12,0.0
22,7205,490016,21982,,-1012,2009-12-03 12:30:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
23,7559,490055,20620,,-25,2009-12-03 13:22:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
24,8553,490084,85064,,-89,2009-12-03 15:37:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
25,9249,490123,84508B,,184,2009-12-03 18:08:00,0.0,1.0,United Kingdom,December,2009,12,0.0
26,9308,490130,21493,lost?,-600,2009-12-03 18:28:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
27,9667,490146,21558,,-169,2009-12-04 09:29:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
28,10236,490150,84347,,80,2009-12-04 09:44:00,0.0,1.0,United Kingdom,December,2009,12,0.0
29,10508,490165,21493,,-106,2009-12-04 11:32:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
30,11973,490354,21489,,-23,2009-12-04 16:39:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
31,12237,490379,21490,,-44,2009-12-05 13:26:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
32,12299,490384,84721,,-42,2009-12-05 14:00:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
33,14480,490540,37446,,-725,2009-12-07 09:24:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
34,14503,490543,37446,,222,2009-12-07 09:45:00,0.0,1.0,United Kingdom,December,2009,12,0.0
35,15489,490688,21133,,270,2009-12-07 13:50:00,0.0,1.0,United Kingdom,December,2009,12,0.0
36,15883,490713,84347,,-20,2009-12-07 15:26:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
37,15908,490715,22158,,-30,2009-12-07 15:27:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
38,15952,490716,22158,,6,2009-12-07 15:28:00,0.0,1.0,United Kingdom,December,2009,12,0.0
39,16107,490727,M,Manual,1,2009-12-07 16:38:00,0.0,17231.0,United Kingdom,December,2009,12,0.0
40,16185,490735,35976B,,-60,2009-12-07 17:12:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
41,16186,490736,35983,,-200,2009-12-07 17:13:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
42,17384,490758,72008,,3000,2009-12-08 09:38:00,0.0,1.0,United Kingdom,December,2009,12,0.0
43,17427,490765,21450,damaged,-31,2009-12-08 10:59:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
44,17428,490766,51008,wet,-200,2009-12-08 11:06:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
45,18738,490961,22065,CHRISTMAS PUDDING TRINKET POT ,1,2009-12-08 15:25:00,0.0,14108.0,United Kingdom,December,2009,12,0.0
46,18739,490961,22142,CHRISTMAS CRAFT WHITE FAIRY ,12,2009-12-08 15:25:00,0.0,14108.0,United Kingdom,December,2009,12,0.0
47,19312,490975,15059A,,-126,2009-12-08 16:41:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
48,19313,490976,84571,,-120,2009-12-08 16:42:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
49,20759,491046,20987,,-100,2009-12-09 10:03:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
50,20760,491047,21982,,-50,2009-12-09 10:04:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
51,20846,491053,85185F,,50,2009-12-09 10:47:00,0.0,1.0,United Kingdom,December,2009,12,0.0
52,20970,491065,84855,MIA,-108,2009-12-09 11:59:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
53,20975,491066,35949,,-67,2009-12-09 12:17:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
54,21646,491108,84922,,-360,2009-12-09 14:29:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
55,21647,491106,84922,,90,2009-12-09 14:29:00,0.0,1.0,United Kingdom,December,2009,12,0.0
56,21648,491107,84922,,180,2009-12-09 14:29:00,0.0,1.0,United Kingdom,December,2009,12,0.0
57,21838,491115,84922,,40,2009-12-09 14:55:00,0.0,1.0,United Kingdom,December,2009,12,0.0
58,21852,491117,20879,,12,2009-12-09 14:59:00,0.0,1.0,United Kingdom,December,2009,12,0.0
59,21954,491120,35980C,,30,2009-12-09 15:05:00,0.0,1.0,United Kingdom,December,2009,12,0.0
60,22088,491128,21490,,-20,2009-12-09 16:00:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
61,22116,491137,21489,,-8,2009-12-09 16:25:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
62,22132,491140,22188,,65,2009-12-09 16:42:00,0.0,1.0,United Kingdom,December,2009,12,0.0
63,22133,491141,22174,,-58,2009-12-09 16:43:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
64,22134,491142,22174,,2,2009-12-09 16:44:00,0.0,1.0,United Kingdom,December,2009,12,0.0
65,22854,491167,17013A,,-45,2009-12-10 11:09:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
66,23542,491206,84841,,-54,2009-12-10 14:10:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
67,23988,491355,17014C,,-96,2009-12-10 15:52:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
68,24941,491451,20940,,-46,2009-12-11 11:09:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
69,26004,491638,21353,,-136,2009-12-11 15:59:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
70,26005,491639,20668,,-1395,2009-12-11 16:02:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
71,28111,491732,79030A,smashed,-350,2009-12-14 10:00:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
72,29109,491817,72487,,-322,2009-12-14 13:37:00,0.0,1.0,United Kingdom,December,2009,12,-0.0
